Time_Index,Amazonas_hydro_res,Doce_hydro_res,Grande_hydro_res,Iguacu_hydro_res,Jacui_capivari_hydro_res,Jequitinhonha_hydro_res,Paraiba_do_sul_hydro_res,Parana_hydro_res,Paranaiba_hydro_res,Paranapanema_hydro_res,Parnaiba_hydro_res,Sao_francisco_hydro_res,Tiete_hydro_res,Tocantins_hydro_res,Uruguai_hydro_res
119,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
120,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
121,0.04557962,0.215035,0.586641698,0.699850184,0.594980383,0.034842757,0.704134682,1.0630241,0.279304046,0.898821296,0.244416351,0.376841715,1.171027667,0.341686237,0.369362665
122,0.04557962,0.215035,0.586641698,0.699850184,0.594980383,0.034842757,0.704134682,1.0630241,0.279304046,0.898821296,0.244416351,0.376841715,1.171027667,0.341686237,0.369362665
123,0.04557962,0.215035,0.586641698,0.699850184,0.594980383,0.034842757,0.704134682,1.0630241,0.279304046,0.898821296,0.244416351,0.376841715,1.171027667,0.341686237,0.369362665
124,0.04557962,0.215035,0.586641698,0.699850184,0.594980383,0.034842757,0.704134682,1.0630241,0.279304046,0.898821296,0.244416351,0.376841715,1.171027667,0.341686237,0.369362665
125,0.04557962,0.215035,0.586641698,0.699850184,0.594980383,0.034842757,0.704134682,1.0630241,0.279304046,0.898821296,0.244416351,0.376841715,1.171027667,0.341686237,0.369362665
126,0.04557962,0.215035,0.586641698,0.699850184,0.594980383,0.034842757,0.704134682,1.0630241,0.279304046,0.898821296,0.244416351,0.376841715,1.171027667,0.341686237,0.369362665
127,0.04557962,0.215035,0.586641698,0.699850184,0.594980383,0.034842757,0.704134682,1.0630241,0.279304046,0.898821296,0.244416351,0.376841715,1.171027667,0.341686237,0.369362665
128,0.04557962,0.215035,0.586641698,0.699850184,0.594980383,0.034842757,0.704134682,1.0630241,0.279304046,0.898821296,0.244416351,0.376841715,1.171027667,0.341686237,0.369362665
129,0.04557962,0.215035,0.586641698,0.699850184,0.594980383,0.034842757,0.704134682,1.0630241,0.279304046,0.898821296,0.244416351,0.376841715,1.171027667,0.341686237,0.369362665
