Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,,,,,,
337,63437.36023,67257.49022,70653.77799,73251.12834,8700,0,,,,,,
338,61012.03129,64686.11056,67952.5519,70450.60069,8700,0,,,,,,
339,59583.11072,63171.14192,66361.0822,68800.62591,8700,0,,,,,,
340,59117.03327,62676.99779,65841.98537,68262.44622,8700,0,,,,,,
341,59479.53795,63061.33211,66245.72734,68681.03042,8700,0,,,,,,
342,60704.19001,64359.73141,67609.69164,70095.13632,8700,0,,,,,,
343,63552.44108,67379.50111,70781.95004,73384.01221,8700,0,,,,,,
344,68168.14222,72273.15484,75922.7176,78713.76293,8700,0,,,,,,
345,74833.24152,79339.61929,83346.01587,86409.95399,8700,0,,,,,,
346,75635.93046,80190.6453,84240.01596,87336.81901,8700,0,,,,,,
347,75070.11627,79590.75838,83609.83668,86683.47329,8700,0,,,,,,
348,73782.16974,78225.25309,82175.37775,85196.28126,8700,0,,,,,,
349,70600.18421,74851.6518,78631.42039,81522.04215,8700,0,,,,,,
350,73038.93925,77437.26606,81347.59989,84338.07292,8700,0,,,,,,
351,73523.23783,77950.72858,81886.99063,84897.29255,8700,0,,,,,,
352,73530.90989,77958.86264,81895.53543,84906.15148,8700,0,,,,,,
353,73907.79967,78358.44832,82315.29891,85341.34616,8700,0,,,,,,
354,72226.66024,76576.07247,80442.91879,83400.13423,8700,0,,,,,,
355,70878.29627,75146.51147,78941.16953,81843.17818,8700,0,,,,,,
356,68864.38137,73011.32077,76698.15854,79517.71037,8700,0,,,,,,
357,67229.27427,71277.74926,74877.04724,77629.65199,8700,0,,,,,,
358,65142.47484,69065.28501,72552.86062,75220.02441,8700,0,,,,,,
359,64259.22931,68128.85137,71569.14009,74200.14067,8700,0,,,,,,
360,66195.46463,70181.68471,73725.63494,76435.91186,8700,0,,,,,,
361,63170.75625,66974.83163,70356.84605,72943.28069,8700,0,,,,,,
362,60899.82746,64567.14994,67827.58414,70321.03891,8700,0,,,,,,
363,59544.75043,63130.47162,66318.35817,68756.33128,8700,0,,,,,,
364,59053.7388,62609.89179,65771.49073,68189.36009,8700,0,,,,,,
365,59407.61242,62985.0753,66165.61981,68597.978,8700,0,,,,,,
366,60189.2032,63813.73264,67036.12169,69500.48098,8700,0,,,,,,
367,61423.44533,65122.29952,68410.767,70925.66053,8700,0,,,,,,
